	Funkce	Typ	Povel Read	Powel Write	Adsress	Sample	Scale	Offset	Result	Unit	Funkce
	Nominal Flow	RW Status	Read Input Reg	Write Single Reg	15	230	1	0	230	m3/h	
	Minimal Flow	RW Status	Read Input Reg	Write Single Reg	16	85	1	0	85	m3/h	
	Maximal Flow	RW Status	Read Input Reg	Write Single Reg	17	285	1	0	285	m3/h	
	Manual Flow	RW Status	Read Input Reg	Write Single Reg	18	240	1	0	240	m3/h	
	Sillent Flow Max	RW Status	Read Input Reg	Write Single Reg	19	150	1	0	150	m3/h	
	Bypass Flow	RW Status	Read Input Reg	Write Single Reg	20	150	1	0	150	m3/h	
	Bypass Month Start	RW Status	Read Input Reg	Write Single Reg	21	5	1	0	5	-	
	Bypass Month End	RW Status	Read Input Reg	Write Single Reg	22	10	1	0	10	-	
	Bypass Out Temp Min	RW Status	Read Input Reg	Write Single Reg	23	12	1	0	12	°C	
	Bypass Inside Temp Min	RW Status	Read Input Reg	Write Single Reg	24	24	1	0	24	°C	
	Boost short duration	RW Status	Read Input Reg	Write Single Reg	25	15	1	0	15	min	
	Boost long duration	RW Status	Read Input Reg	Write Single Reg	26	60	1	0	60	min	
	Circulation duration	RW Status	Read Input Reg	Write Single Reg	27	20	1	0	20	min	
	CO2 setpoint	RW Status	Read Input Reg	Write Single Reg	28	500	1	0	500	PPM	
	RH inside out setpoint	RW Status	Read Input Reg	Write Single Reg	29	35	1	0	35	%	
	Fresh filter status	R status	Read Input Reg		30	98	1	0	98	%	
	Exhaust filter status	R status	Read Input Reg		31	98	1	0	98	%	
